Station ID Number:,94040,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Flag,GHI_Tilt(15:180),GHI_Tilt(15:180)_Flag,GTI(15:180),GTI(15:180)_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI,DHI_Flag,PV_Power,PV_Power_Flag,PV_Power.1,PV_Power_Flag.1,Wind_Speed,Wind_Speed_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,GHI_Tilt(15:180)_original,GHI_Tilt(15:180)_original_Flag,GTI(15:180)_original,GTI(15:180)_original_Flag,DNI_original,DNI_original_Flag,DHI_original,DHI_original_Flag,NOTES
2019//1//1,1,07::40:12,16::48:43,12::14:23,3.478,12.841000000000001,1.571,5.003,2.102,3.362,-,-,0.557,10.007,1.784,10.002,1.014,30.003,3.749,17.601,18.717,4.176,0.05945833333333333,1.17,-5.7700000000000005,2.88,-0.0112,0.0143,0.,0.,-,-,0.,0.,-0.025,0.0438,-
2019//1//2,2,07::40:16,16::49:35,12::14:51,3.495,12.865,2.419,5.001,3.908,3.362,-,-,1.988,10.,6.088,9.999,0.431,29.997,12.112,5.799,34.697,2.604,0.09327083333333332,1.73,-5.3100000000000005,8.96,-0.0438,0.0402,0.,0.,-,-,0.,0.,-0.07100000000000001,0.06910000000000001,-
2019//1//3,3,07::40:18,16::50:29,12::15:19,3.513,12.888,0.988,5.01,0.98,3.361,-,-,0.009000000000000001,10.546,0.03,9.933,0.979,29.996000000000002,-1.9040000000000001,-31.483,7.566,9.585,0.2628125,5.25,-2.1,11.24,-0.0748,0.08410000000000001,0.,0.,-,-,0.,0.,-0.10790000000000001,0.1038,-
2019//1//4,4,07::40:18,16::51:26,12::15:46,3.532,12.888,1.919,5.0040000000000004,2.443,3.362,-,-,0.604,10.008000000000001,1.749,10.,1.315,30.001,5.493,13.024000000000001,22.968,3.489,1.2168541666666666,5.91,-2.99,12.120000000000001,-0.0954,0.0398,0.,0.,-,-,0.,0.,-0.1474,0.0755,-
2019//1//5,5,07::40:15,16::52:23,12::16:13,3.553,12.911,1.28,5.006,1.522,3.361,-,-,0.321,9.996,0.983,9.996,0.9590000000000001,30.012,0.627,94.822,13.035,5.561,3.7654166666666673,12.49,4.3100000000000005,11.08,-0.1072,0.0291,0.,0.,-,-,0.,0.,-0.1605,0.0717,-
2019//1//6,6,07::40:09,16::53:22,12::16:40,3.575,12.934000000000001,1.118,5.011,1.243,3.361,-,-,0.17200000000000001,10.015,0.47400000000000003,10.001,0.9460000000000001,30.008,-0.369,-158.907,10.768,5.974,0.5442083333333333,4.9,0.1,6.87,-0.0765,0.0297,0.,0.,-,-,0.,0.,-0.126,0.075,-
2019//1//7,7,07::40:01,16::54:23,12::17:06,3.598,12.957,1.038,5.005,1.123,3.361,-,-,0.054,9.923,0.304,9.998,0.984,30.001,-2.13,-20.091,9.299,7.57,0.9748055555555556,7.61,-1.93,9.76,-0.0574,0.0324,0.,0.,-,-,0.,0.,-0.10300000000000001,0.0736,-
2019//1//8,8,07::39:51,16::55:24,12::17:31,3.623,12.98,1.799,5.003,2.234,3.362,-,-,0.623,10.003,1.6580000000000001,10.002,1.176,29.991,-5.541,-1.415,20.605,3.916,3.690847222222222,9.93,9.56,16.1,-0.09620000000000001,0.031100000000000003,0.,0.,-,-,0.,0.,-0.15080000000000002,0.0753,-
2019//1//9,9,07::39:39,16::56:27,12::17:56,3.65,13.003,2.249,5.003,3.1910000000000003,3.362,-,-,1.168,10.002,3.295,10.001,1.081,30.004,8.984,7.563,29.035,2.962,1.5104861111111114,7.3500000000000005,7.76,14.74,-0.10980000000000001,0.0369,0.,0.,-,-,0.,0.,-0.15510000000000002,0.0694,-
2019//1//10,10,07::39:25,16::57:31,12::18:20,3.677,13.072000000000001,1.92,5.002,2.766,3.362,-,-,0.977,10.002,2.956,10.001,0.9430000000000001,30.,6.679,10.785,24.52,3.444,1.5024722222222224,5.84,2.93,13.9,-0.0998,0.0468,0.,0.,-,-,0.,0.,-0.1353,0.07350000000000001,-
2019//1//11,11,07::39:07,16::58:37,12::18:44,3.706,13.095,0.89,5.011,1.094,3.363,-,-,0.19,9.997,0.603,10.005,0.7000000000000001,29.990000000000002,-1.822,-25.011,7.9910000000000005,7.668,2.7121041666666668,7.29,10.64,14.63,-0.0954,0.0395,0.,0.,-,-,0.,0.,-0.13490000000000002,0.0717,-
2019//1//12,12,07::38:47,16::59:44,12::19:07,3.736,13.117,2.452,5.003,3.943,3.362,-,-,2.021,10.001,5.973,9.999,0.431,30.017,11.448,6.164,34.308,2.657,1.9856180555555556,5.5600000000000005,5.19,16.330000000000002,-0.12250000000000001,0.06280000000000001,0.,0.,-,-,0.,0.,-0.1756,0.0913,-
2019//1//13,13,07::38:27,17::00:52,12::19:30,3.7680000000000002,13.162,2.695,5.001,4.373,3.362,-,-,2.331,10.,6.838,10.,0.364,29.965,13.11,5.407,37.641,2.541,2.5817083333333333,6.72,6.390000000000001,15.92,-0.1034,0.0414,0.,0.,-,-,0.,0.,-0.14700000000000002,0.0716,-
2019//1//14,14,07::38:01,17::02:01,12::19:52,3.801,13.184000000000001,2.563,5.001,3.849,3.362,-,-,1.774,10.,4.994,9.999,0.789,29.987000000000002,11.447000000000001,6.093,34.4,2.793,2.7502222222222223,6.98,6.46,12.77,-0.08410000000000001,0.0324,0.,0.,-,-,0.,0.,-0.1245,0.06810000000000001,-
2019//1//15,15,07::37:36,17::03:11,12::20:13,3.835,13.206,1.733,5.003,2.231,3.362,-,-,0.614,9.999,1.94,9.999,1.119,30.01,3.101,21.332,18.02,4.498,3.044548611111111,7.4,7.18,12.870000000000001,-0.0893,0.04,0.,0.,-,-,0.,0.,-0.1291,0.067,-
2019//1//16,16,07::37:07,17::04:21,12::20:34,3.87,13.251,0.841,5.013,0.839,3.362,-,-,0.006,9.870000000000001,0.014,9.892,0.836,29.988,-2.698,-20.159,5.764,11.76,2.4457708333333334,7.3,5.6000000000000005,11.61,-0.1155,0.043300000000000005,0.,0.,-,-,0.,0.,-0.1509,0.067,-
2019//1//17,17,07::36:36,17::05:32,12::20:54,3.907,13.296000000000001,2.392,5.003,3.124,3.362,-,-,0.928,10.005,2.406,9.999,1.463,30.007,8.975,7.716,30.094,2.972,1.2440694444444444,5.13,2.12,10.370000000000001,-0.1003,0.032,0.,0.,-,-,0.,0.,-0.1468,0.0693,-
2019//1//18,18,07::36:02,17::06:45,12::21:13,3.9450000000000003,13.341000000000001,0.442,5.0280000000000005,0.419,3.364,-,-,0.,100,0.,100,0.442,30.013,-4.885,-3.477,1.42,35.197,1.7904652777777774,7.22,0.79,9.35,-0.062200000000000005,0.0286,0.,0.,-,-,0.,0.,-0.0989,0.06330000000000001,-
2019//1//19,19,07::35:28,17::07:58,12::21:32,3.984,13.386000000000001,0.451,5.0280000000000005,0.429,3.364,-,-,0.,100,0.001,6.088,0.451,30.014,-4.768,-4.6930000000000005,1.7690000000000001,23.175,1.6471805555555556,7.61,6.58,11.08,-0.07880000000000001,0.0302,0.,0.,-,-,0.,0.,-0.1164,0.0664,-
2019//1//20,20,07::34:50,17::09:12,12::21:49,4.024,13.407,0.781,5.0120000000000005,0.754,3.361,-,-,0.004,9.566,0.038,9.983,0.777,30.011,-3.032,-16.915,5.1610000000000005,11.9,0.13135416666666663,1.84,3.52,7.18,-0.065,0.024,0.,0.,-,-,0.,0.,-0.097,0.059000000000000004,-
2019//1//21,21,07::34:10,17::10:25,12::22:06,4.066,13.451,1.528,5.003,1.905,3.362,-,-,0.523,9.994,1.284,9.999,1.0050000000000001,29.999000000000002,2.748,22.706,17.415,4.546,0.3402083333333334,2.16,-0.39,7.87,-0.0597,0.031100000000000003,0.,0.,-,-,0.,0.,-0.0925,0.0639,-
2019//1//22,22,07::33:30,17::11:40,12::22:23,4.108,13.519,1.949,5.0040000000000004,2.478,3.362,-,-,0.499,9.996,1.315,10.001,1.451,29.992,5.796,12.484,23.757,3.693,0.12752777777777777,1.52,-0.58,9.26,-0.0616,0.042,0.,0.,-,-,0.,0.,-0.0915,0.0697,-
2019//1//23,23,07::32:45,17::12:56,12::22:38,4.152,13.540000000000001,1.6280000000000001,5.0040000000000004,1.8980000000000001,3.362,-,-,0.3,9.993,0.889,10.003,1.328,30.009,2.654,22.771,16.243000000000002,4.313,0.08956944444444444,1.68,0.13,10.74,-0.0634,0.053000000000000005,0.,0.,-,-,0.,0.,-0.0969,0.0839,-
2019//1//24,24,07::31:59,17::14:12,12::22:53,4.197,13.584,2.62,5.002,3.7960000000000003,3.362,-,-,1.676,9.999,4.696,9.999,0.9450000000000001,29.989,11.702,6.393,34.673,2.9130000000000003,0.23325694444444445,2.33,0.43,10.040000000000001,-0.09000000000000001,0.0753,0.,0.,-,-,0.,0.,-0.1368,0.1015,-
2019//1//25,25,07::31:11,17::15:27,12::23:07,4.243,13.651,1.944,5.002,2.645,3.362,-,-,1.081,10.004,2.875,9.999,0.862,30.007,6.207,10.631,23.158,3.491,0.07024305555555554,1.23,-1.46,9.78,-0.07010000000000001,0.028900000000000002,0.,0.,-,-,0.,0.,-0.1174,0.07400000000000001,-
2019//1//26,26,07::30:22,17::16:44,12::23:20,4.291,13.694,1.799,5.002,2.096,3.361,-,-,0.338,10.011000000000001,0.888,9.997,1.46,30.006,3.984,19.269000000000002,19.59,4.253,0.06435416666666666,1.3900000000000001,-3.33,8.28,-0.0514,0.0315,0.,0.,-,-,0.,0.,-0.0917,0.0659,-
2019//1//27,27,07::29:31,17::18:02,12::23:32,4.339,13.737,2.938,5.,4.3260000000000005,3.362,-,-,2.173,9.999,5.697,10.,0.765,29.992,14.484,5.244,40.097,2.57,0.08345833333333334,1.26,-1.56,12.290000000000001,-0.0727,0.0354,0.,0.,-,-,0.,0.,-0.11040000000000001,0.06620000000000001,-
2019//1//28,28,07::28:36,17::19:19,12::23:44,4.388,13.758000000000001,1.663,5.002,1.823,3.363,-,-,0.151,9.97,0.41000000000000003,9.99,1.512,30.003,2.398,29.356,16.992,4.916,0.15059027777777778,2.44,-0.76,16.6,-0.0828,0.039900000000000005,0.,0.,-,-,0.,0.,-0.12000000000000001,0.075,-
2019//1//29,29,07::27:40,17::20:36,12::23:54,4.439,13.824,3.116,5.002,4.662,3.362,-,-,2.5,10.002,6.493,10.,0.616,29.984,15.719000000000001,4.884,42.836,2.714,0.12279166666666666,1.72,-1.04,12.92,-0.1023,0.045700000000000005,0.,0.,-,-,0.,0.,-0.1476,0.0782,-
2019//1//30,30,07::26:43,17::21:54,12::24:04,4.491,13.867,2.906,5.001,4.372,3.362,-,-,2.164,9.998,5.589,10.,0.742,30.013,14.429,5.388,40.133,2.688,0.11504861111111109,1.56,-0.96,13.68,-0.11180000000000001,0.059000000000000004,0.,0.,-,-,0.,0.,-0.1579,0.0845,-
2019//1//31,31,07::25:43,17::23:12,12::24:13,4.543,13.91,3.16,5.002,4.814,3.362,-,-,2.742,10.001,7.1690000000000005,10.,0.418,29.992,16.306,4.588,43.56,2.56,0.17166666666666666,2.12,-1.1500000000000001,14.81,-0.0955,0.043500000000000004,0.,0.,-,-,0.,0.,-0.1386,0.0763,-
2019//2//1,32,07::24:43,17::24:29,12::24:22,4.597,13.976,0.858,3.13,0.907,3.36,-,-,0.008,3.3120000000000003,0.02,3.149,0.85,3.1390000000000002,-2.404,-24.255,5.,13.852,0.45555555555555555,6.04,4.78,14.620000000000001,-0.0941,0.0328,0.,0.,-,-,0.,0.,-0.1432,0.0737,-
2019//2//2,33,07::23:40,17::25:48,12::24:29,4.651,14.019,1.29,3.1270000000000002,1.387,3.363,-,-,0.081,3.121,0.28300000000000003,3.128,1.209,3.1350000000000002,0.097,754.364,11.154,6.994,0.28025000000000005,4.97,6.,13.200000000000001,-0.09770000000000001,0.0346,0.,0.,-,-,0.,0.,-0.1458,0.0731,-
2019//2//3,34,07::22:36,17::27:06,12::24:36,4.707,14.061,0.863,3.13,0.885,3.361,-,-,0.01,3.077,0.117,3.129,0.853,3.1350000000000002,-2.64,-19.489,6.008,12.75,0.07190972222222221,1.6600000000000001,1.46,7.82,-0.08310000000000001,0.0352,0.,0.,-,-,0.,0.,-0.1287,0.0738,-
2019//2//4,35,07::21:30,17::28:24,12::24:41,4.763,14.126,1.02,3.13,1.041,3.36,-,-,0.046,3.116,0.106,3.115,0.974,3.142,-,-,-,-,0.13156249999999997,2.1,-2.79,3.48,-0.042100000000000005,0.024900000000000002,0.,0.,-,-,0.,0.,-0.0743,0.0625,-
2019//2//5,36,07::20:22,17::29:42,12::24:46,4.82,14.192,1.489,3.126,1.357,3.361,-,-,0.001,3.432,0.003,3.072,1.488,3.1310000000000002,-,-,-,-,0.04274305555555554,1.07,-2.97,2.56,-0.0161,0.0146,0.,0.,-,-,0.,0.,-0.036500000000000005,0.0487,-
2019//2//6,37,07::19:12,17::31:01,12::24:51,4.878,14.234,2.2960000000000003,3.125,2.985,3.362,-,-,0.995,3.124,2.149,3.124,1.301,3.129,-,-,-,-,0.38828472222222216,2.22,-3.23,4.73,-0.038900000000000004,0.0285,0.,0.,-,-,0.,0.,-0.0718,0.07250000000000001,-
2019//2//7,38,07::18:01,17::32:18,12::24:54,4.937,14.275,2.32,3.125,2.638,3.362,-,-,0.326,3.12,0.651,3.125,1.994,3.128,7.236,10.993,27.104,3.43,0.14030555555555552,1.71,-5.92,3.99,-0.0409,0.0205,0.,0.,-,-,0.,0.,-0.0771,0.0592,-
2019//2//8,39,07::16:49,17::33:36,12::24:57,4.997,14.34,1.405,3.126,1.401,3.362,-,-,0.,100,0.001,3.201,1.4040000000000001,3.132,0.28700000000000003,262.927,12.117,6.686,0.05971527777777776,1.27,-1.92,6.09,-0.031200000000000002,0.0181,0.,0.,-,-,0.,0.,-0.0641,0.061000000000000006,-
2019//2//9,40,07::15:36,17::34:55,12::24:58,5.058,14.382,1.295,3.1270000000000002,1.4020000000000001,3.362,-,-,0.199,3.126,0.589,3.123,1.096,3.1350000000000002,-2.472,-16.584,2.1470000000000002,20.312,0.39516666666666667,4.13,-2.73,3.39,-0.027600000000000003,0.0189,0.,0.,-,-,0.,0.,-0.0572,0.0592,-
2019//2//10,41,07::14:20,17::36:12,12::24:59,5.119,14.446,2.011,3.1270000000000002,2.349,3.362,-,-,0.539,3.125,1.0050000000000001,3.124,1.472,3.1350000000000002,4.182,11.315,19.322,3.633,0.19081944444444443,2.71,-2.88,3.92,-0.024,0.0176,0.,0.,-,-,0.,0.,-0.0517,0.0567,-
2019//2//11,42,07::13:03,17::37:29,12::25:00,5.181,14.511000000000001,2.642,3.125,3.481,3.362,-,-,1.162,3.126,2.936,3.125,1.48,3.128,10.474,7.751,33.49,3.113,1.9140555555555554,6.3500000000000005,-2.22,8.23,-0.0385,0.020800000000000003,0.,0.,-,-,0.,0.,-0.0661,0.0533,-
2019//2//12,43,07::11:45,17::38:47,12::24:59,5.244,14.552,1.2,3.1270000000000002,1.175,3.361,-,-,0.,100,0.,100,1.2,3.133,-0.876,-83.531,9.443,8.354000000000001,2.5297847222222223,6.58,2.72,7.78,-0.0386,0.020300000000000002,0.,0.,-,-,0.,0.,-0.0658,0.054700000000000006,-
2019//2//13,44,07::10:27,17::40:05,12::24:58,5.308,14.616,1.623,3.1270000000000002,1.717,3.362,-,-,0.012,3.0420000000000003,0.021,3.186,1.611,3.133,2.353,31.306,16.458000000000002,4.789,1.1828472222222224,6.07,0.01,9.92,-0.0417,0.0213,0.,0.,-,-,0.,0.,-0.08080000000000001,0.0664,-
2019//2//14,45,07::09:05,17::41:21,12::24:56,5.372,14.656,2.93,3.126,3.708,3.362,-,-,1.5230000000000001,3.125,3.06,3.125,1.407,3.134,12.056000000000001,6.031,37.08,2.862,1.8201736111111113,5.96,3.3000000000000003,14.41,-0.08700000000000001,0.0396,0.,0.,-,-,0.,0.,-0.14120000000000002,0.07880000000000001,-
2019//2//15,46,07::07:43,17::42:38,12::24:53,5.437,14.72,2.8930000000000002,3.126,3.465,3.362,-,-,0.757,3.124,1.675,3.125,2.136,3.129,10.934000000000001,7.5840000000000005,34.449,2.968,1.2530486111111114,5.22,1.67,9.200000000000001,-0.06760000000000001,0.0308,0.,0.,-,-,0.,0.,-0.11,0.07,-
2019//2//16,47,07::06:21,17::43:55,12::24:50,5.503,14.784,2.239,3.126,2.641,3.362,-,-,0.526,3.124,1.083,3.126,1.713,3.13,6.877,10.859,25.6,3.6350000000000002,0.2767291666666667,2.56,0.18,7.62,-0.037700000000000004,0.0201,0.,0.,-,-,0.,0.,-0.0673,0.0579,-
2019//2//17,48,07::04:55,17::45:11,12::24:46,5.569,14.824,3.108,3.126,4.538,3.362,-,-,1.497,3.124,3.258,3.125,1.612,3.13,9.837,6.531,29.72,3.032,0.3715347222222222,2.59,-1.46,6.29,-0.0269,0.0155,0.,0.,-,-,0.,0.,-0.054200000000000005,0.054700000000000006,-
2019//2//18,49,07::03:32,17::46:26,12::24:41,5.635,14.91,3.907,3.125,5.363,3.362,-,-,3.02,3.125,6.167,3.125,0.887,3.1310000000000002,20.539,4.103,52.989000000000004,2.632,0.41402777777777783,3.1,-2.0100000000000002,5.89,-0.0315,0.0227,0.,0.,-,-,0.,0.,-0.0641,0.0658,-
2019//2//19,50,07::02:04,17::47:43,12::24:35,5.703,14.950000000000001,2.748,3.126,3.23,3.362,-,-,0.716,3.126,1.573,3.124,2.032,3.128,9.758000000000001,8.154,32.902,3.092,0.2931458333333334,2.48,-3.49,5.48,-0.0195,0.014400000000000001,0.,0.,-,-,0.,0.,-0.0451,0.0539,-
2019//2//20,51,07::00:37,17::48:59,12::24:29,5.771,14.99,1.537,3.1270000000000002,1.5070000000000001,3.361,-,-,0.003,2.9210000000000003,0.005,3.053,1.534,3.134,1.245,59.167,14.281,5.7540000000000004,0.20608333333333337,2.42,-0.05,5.09,-0.0182,0.0126,0.,0.,-,-,0.,0.,-0.043300000000000005,0.054400000000000004,-
2019//2//21,52,06::59:08,17::50:14,12::24:22,5.839,15.053,3.259,3.126,4.257,3.362,-,-,1.5330000000000001,3.126,2.975,3.125,1.726,3.13,12.92,5.315,36.757,2.9090000000000003,0.22488194444444448,2.37,-2.25,6.47,-0.0323,0.025,0.,0.,-,-,0.,0.,-0.062200000000000005,0.0599,-
2019//2//22,53,06::57:39,17::51:27,12::24:15,5.908,15.115,4.296,3.125,6.015000000000001,3.366,-,-,3.6910000000000003,3.125,7.953,3.125,0.605,3.132,22.508,3.846,57.945,2.545,0.22335416666666666,1.85,-4.84,9.85,-0.030600000000000002,0.021400000000000002,0.,0.,-,-,0.,0.,-0.0632,0.0635,-
2019//2//23,54,06::56:07,17::52:43,12::24:06,5.977,15.178,1.797,3.1270000000000002,1.872,3.361,-,-,0.041,3.101,0.067,3.115,1.756,3.132,2.817,26.729,17.642,4.59,0.11587499999999996,1.7,0.58,8.57,-0.030000000000000002,0.019200000000000002,0.,0.,-,-,0.,0.,-0.058800000000000005,0.0555,-
2019//2//24,55,06::54:37,17::53:58,12::23:58,6.046,15.237,2.041,3.1270000000000002,2.22,3.362,-,-,0.052000000000000005,3.114,0.08600000000000001,3.122,1.99,3.129,4.694,19.277,21.351,4.5600000000000005,3.184944444444445,6.5200000000000005,4.34,10.44,-0.033100000000000004,0.0198,0.,0.,-,-,0.,0.,-0.0679,0.0648,-
2019//2//25,56,06::53:03,17::55:12,12::23:48,6.1160000000000005,15.279,0.862,3.13,0.848,3.364,-,-,0.,100,0.,100,0.862,3.138,-2.36,-22.908,6.418,10.332,1.2972708333333336,6.29,0.98,7.61,-0.028800000000000003,0.0178,0.,0.,-,-,0.,0.,-0.06380000000000001,0.06430000000000001,-
2019//2//26,57,06::51:32,17::56:24,12::23:39,6.187,15.364,0.503,3.132,0.5,3.364,-,-,0.,100,0.,100,0.503,3.15,-5.013,-3.584,1.05,31.578,0.3887777777777777,4.7,-0.3,7.54,-0.015600000000000001,0.013300000000000001,0.,0.,-,-,0.,0.,-0.034300000000000004,0.0442,-
2019//2//27,58,06::49:56,17::57:38,12::23:28,6.257000000000001,15.403,1.538,3.126,1.592,3.363,-,-,0.019,3.111,0.034,3.109,1.5190000000000001,3.129,1.6600000000000001,41.424,15.037,5.269,0.8438888888888889,4.8500000000000005,-0.24,6.67,-0.0364,0.0195,0.,0.,-,-,0.,0.,-0.0644,0.0536,-
2019//2//28,59,06::48:22,17::58:52,12::23:17,6.328,15.465,2.586,3.125,3.019,3.362,-,-,0.632,3.125,1.094,3.125,1.954,3.128,8.909,9.747,30.456,3.519,0.11523611111111111,1.3800000000000001,-3.66,8.540000000000001,-0.048,0.023100000000000002,0.,0.,-,-,0.,0.,-0.0864,0.0634,-
2019//3//1,60,06::46:46,18::00:05,12::23:06,6.4,15.503,3.094,3.125,3.709,3.362,-,-,1.275,3.126,2.497,3.125,1.819,3.126,11.825,7.298,37.57,3.215,0.311965278,4.24,-2.15,11.33,-0.0535,0.0311,0,0,-,-,0,0,-0.09,0.0707,-
2019//3//2,61,06::45:10,18::01:17,12::22:54,6.471,15.565,2.881,3.125,3.315,3.362,-,-,0.431,3.125,0.706,3.124,2.45,3.127,10.47,8.44,34.216,3.18,0.181826389,1.62,-1.44,11.34,-0.0582,0.041,0,0,-,-,0,0,-0.0954,0.071,-
2019//3//3,62,06::43:34,18::02:29,12::22:41,6.543,15.647,4.777,3.125,6.366,3.372,-,-,4.156,3.125,8.343,3.125,0.621,3.129,24.609,3.71,61.973,2.446,0.429534722,2.42,-1.83,14.56,-0.0696,0.032,0,0,-,-,0,0,-0.1088,0.0684,-
2019//3//4,63,06::41:55,18::03:41,12::22:28,6.615,15.687,4.351,3.125,5.725,3.362,-,-,3.225,3.125,6.459,3.125,1.126,3.127,21.38,4.286,56.111,2.541,0.401305556,2.34,-1.11,12.12,-0.0369,0.0228,0,0,-,-,0,0,-0.0708,0.0652,-
2019//3//5,64,06::40:17,18::04:54,12::22:15,6.687,15.748,1.224,3.126,1.202,3.362,-,-,0.001,2.24,0.002,2.601,1.223,3.132,-0.54,-136.111,10.1,8.199,0.107909722,1.09,0.2,5.38,-0.0138,0.0126,0,0,-,-,0,0,-0.0315,0.0447,-
2019//3//6,65,06::38:39,18::06:05,12::22:01,6.759,15.786,1.977,3.127,2.052,3.362,-,-,0.072,3.144,0.138,3.119,1.905,3.13,3.901,21.898,19.731,4.77,0.336090278,2.67,2.61,10.17,-0.0278,0.0335,0,0,-,-,0,0,-0.052,0.0677,-
2019//3//7,66,06::36:58,18::07:16,12::21:47,6.832,15.846,3.44,3.126,4.169,3.362,-,-,1.501,3.124,3.331,3.125,1.94,3.127,14.174,6.196,41.111,2.98,0.3931875,2.63,-0.56,8.88,-0.0309,0.0248,0,0,-,-,0,0,-0.0685,0.0674,-
